seed,structuredStateId,randomPositionStateId,elementCount,structuredTotal,randomPositionTotal,delta,hierarchy_weightedDelta,grouping_weightedDelta,structure_weightedDelta,flow_weightedDelta,spatial_weightedDelta,harmony_weightedDelta
1331,f0c9db94,fee055f9,9,68.8783,69.5805,-0.7022,-4.2308,-2.2579,6.637,-0.75,-0.1006,0
1333,a0ca1376,00de44ab,9,69.189,70.1663,-0.9773,-4.7992,-2.0012,5.6889,0.75,-0.6158,0
1338,5145b84f,2149e24f,7,62.7903,64.5605,-1.7702,-4.0894,-4.4575,6.0952,0.25,0.4315,0
1374,966dccb0,72d4b5b0,8,65.7074,67.7802,-2.0728,-9.541,0.918,5.8667,0,0.6835,0
1382,5d0c7a1b,20da48a5,9,64.1993,65.0694,-0.8701,-4.3863,-0.692,6.637,-3,0.5711,0
1393,78460525,5b0edd00,8,57.3154,62.3264,-5.011,-9.4792,-1.0535,5.8667,-0.6429,0.298,0
1401,8cd0bbac,609e9486,8,65.8883,66.5883,-0.7,-4.8341,-1.3911,6.9333,-2.1429,0.7346,0
1405,6c1b0868,7f645784,9,65.2428,68.2704,-3.0275,-9.3055,0.2256,5.2148,0,0.8375,0
1416,60caf471,5b4e90a0,12,69.5247,71.7218,-2.1971,-5.1304,-2.4921,6.7556,-1.3636,0.0334,0
1434,93f61f73,800ab11a,4,60.6867,61.7784,-1.0917,-9.1009,3.8491,5.3333,-1.5,0.3267,0
1453,e2471ad4,a071d513,7,59.2072,63.591,-4.3837,-4.7086,-2.9107,6.7048,-3,-0.4692,0
